Sample_ID	S3P1_G05	S3P1_H05	S3P1_F05	S3P1_A06	S3P1_E06	S3P1_C06	S3P1_B06	S3P1_G06	S3P1_H06	S3P1_F06	S3P1_B07	S3P1_E07	S3P1_C07	S3P1_H07	S3P1_G07	S3P1_F07	S3P1_E08	S3P1_C08	S3P1_D08	S3P1_F08	S3P1_G08	S3P1_A09	S3P1_H08	S3P1_E09	S3P1_D09	S3P1_B09	S3P1_C09	S3P1_H09	S3P1_F09	S3P1_G09	S3P1_A10
Dose	0	0	0	0	0.156	0.156	0.156	0.3125	0.3125	0.3125	0.625	0.625	0.625	1.25	1.25	1.25	2.5	2.5	2.5	5	5	5	5	10	10	10	10	20	20	20	20
APOC3_32553	6.38778914467988	5.70752769364358	6.09719017407116	6.16026681631303	6.14500873327391	6.0158502562481	6.16105700197525	6.15722151972033	6.03158610747283	6.05478608780875	6.88291562230198	6.80197281360817	6.58304857835407	5.97323901270526	6.73263592521413	6.68555929280899	5.716650617312	5.92127433970304	6.34021698828542	5.62013870112373	5.7699302686281	5.3473920714415	4.93068255500777	5.15577700103143	5.12514344927708	5.13606450386494	4.73009815929829	2.44816549655782	3.50116081418839	3.72978105424039	4.1845660710944
IFNB1_32501	0	0	0	0	0	0	0	0	0	0.061160945405698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAGLN2_9982	0.628462881867426	0.333417706706198	0.32247094889704	0.635011715373989	0.2262000492386	0.403638151370163	0.497830969258334	0.531843224033802	0.281621673059787	0.333228912858316	0.654362249628539	0.358184460759789	0.398360379456801	0.0677412501435912	0.392175325109866	0.391251505103214	0.193035309776359	0.509853991899184	0.418158678250976	0.393489349413505	0.38095757913952	0.252081854721424	0.294624401864467	0.455476810074856	0.366620473038187	0.351718842907662	0.247727273965645	0.277685401713298	0.0913061818480473	0.36968846335685	0.31772069791094
THBD_32575	0.510559048987369	0.604061331492061	0.585867143957224	0.528431581733835	0.277612654285536	0.461157846071657	0.350187137939383	0.327375422793797	0.281621673059787	0.282765831749767	0.36396723645025	0.358184460759789	0.509961498361773	0.310773356699722	0.392175325109866	0.321032776971475	0.0672561105566661	0.374882855015437	0.418158678250976	0.334917752289768	0.38095757913952	0.36332431269324	0.294624401864467	0.58012737160743	0.419593393510773	0.0962888638528266	0.169784095077529	0.213112490313329	0.177176070519461	0.256667541263681	0.31772069791094
ESM1_32480	0	0.103375720155579	0	0	0.277612654285536	0	0.0645899535134604	0.0890671327114605	0.0509219889395351	0.061160945405698	0.156764211775286	0.0791048029749236	0	0.0677412501435912	0.303667430913196	0.169427671197128	0	0.117404102654452	0.059393531677794	0	0	0	0.0639351630295719	0	0.132830824468992	0	0	0.0745905308742602	0.177176070519461	0	0.31772069791094
FSHB_33074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELE_32346	0	0	0	0	0.0599608382244499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0639351630295719	0	0	0	0	0	0.0913061818480473	0	0
WDR12_10166	2.19496619528476	1.41759316842783	1.41673324028547	1.91255475626042	1.82629335756331	1.63155016683523	1.85195754684213	1.66229379478227	1.59067281176091	1.70126461557318	2.32695154066447	2.28954026034545	1.75918506257474	1.78734834059901	2.50730270401362	2.28184061528464	2.01942249089209	2.21586254883659	2.58527215080629	2.82013557388972	2.87702250219218	2.26858061619443	2.46762175105028	2.64597264570707	1.99629229453993	2.93091165970941	3.45827834384302	2.98150096241315	2.66843924542596	3.57338520695741	2.90051845591359
CASP8_32959	1.49555364859121	1.47654813794451	1.19792655108696	0.969710301181386	1.07270543502199	1.22968945928703	1.61374132316916	1.33820876015619	1.00428485080999	1.33094508977107	1.31741527942814	1.57176544581308	1.24977275423008	1.49918533825123	1.21882803485321	1.28276058086964	1.16399761281847	1.28763817359941	1.3050757669422	1.38961862687186	1.45295588931394	1.44271517048926	1.23841613366675	1.51408670810483	1.34658146029049	1.48260069474322	1.83197758693055	1.66700491809394	1.16436873196119	1.85943851575152	1.62950069349616
MDM2_9214	4.1686488593917	3.92488699239725	3.84801376873453	3.84613209329691	3.97506149511194	3.94170380626911	4.0740370272495	4.22524736824717	3.90798960943279	3.91814027637119	4.13166332598646	4.02950254848102	3.89077719692794	4.24273836946978	4.38097468962802	3.95580820495422	4.05769722674735	4.02706640679028	4.04143292256488	4.29314617531889	4.35700863897092	4.20334628669965	4.12878632254185	4.35684004938803	4.22847344261823	4.73744045435313	4.70268361836944	4.98504041277828	4.62739331154954	5.27342334232688	4.96819515211235
LOC102549198_33139	0	0	0.0590022761978436	0.0522257816882681	0	0	0	0	0	0.061160945405698	0.0805103222531584	0	0.0745075243731736	0	0	0.0871995701237366	0	0.0598959905521768	0	0	0	0.0672685029351215	0	0	0	0	0.0873882454774224	0	0	0.13403417222632	0
CYP2B3_32867	9.14641936465481	9.14325200654425	9.54097836563265	9.40120462567862	9.39391083151434	9.38843217765262	9.63598080711713	9.74038787276146	9.19270927063946	9.57159288688253	9.17009501001177	9.4283922899595	9.505315094519	9.13672093888797	9.34071434236015	9.19764928924354	9.06329430166344	9.23720449590784	9.04882339988524	9.32920581773156	9.12090307054338	9.30825295437154	8.99807240590916	9.35860481997401	9.50748294424476	9.09252728073447	9.03850960775229	9.07711224682376	9.14218567620325	8.88982107583351	9.27421162719882
IL36B_33203	0.683987852901862	0.494224252481279	0.625444391621988	0.528431581733835	0.466692027573552	0.81006663860119	0.497830969258334	0.531843224033802	0.323643562650654	0.38198637089292	0.156764211775286	0.591929495099251	0.562683223522395	0.657085516187482	0.475565786164875	0.391251505103214	0.466524633110734	0.746957410987417	0.506171615525121	0.44977549831398	0.612456608156014	0.515591294668324	0.964639309495977	0.638633549379685	1.00909744665976	1.11991405272264	1.20873345624402	0.886740367814627	1.16436873196119	1.1165611551602	0.897054180682575
RATNP-3B_33299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
